decade							十年
exceed				超过，超出
tutor								教师，课本
proximity			接近
cosmopolitan			国际性的，见多识广的
Christian						基督教的
catalyst		促进因素
consign		打发，托付
lease		租约，更愉快的生活，出租
wane			衰落，亏损
quota							定额，限额
depress					使沮丧，使萧条，按下
clarify									澄清
extreme								极度的，极端的，极度，极端
radar				雷达
pertain				有关，从属
given				特定的，有倾向的，鉴于，如果有
seismic				地震的，巨大的
summit				山顶，巅峰，首脑会议
nautical				航海的，海员的
licence				许可证，许可
target						靶，目标
analytical						分析的
jerk					突然的一动，蠢人，抽搐
rescue						解救
couch				长沙发，表达
strategic			战略的，关键的
impulse				冲动，推动力，脉冲
ultraviolet			紫外的
melodious			悦耳的
\\\\\\\\
