crucial				至关重要的
commodity				商品，有用的东西，可贵品质
conceive			想出，怀有，怀孕
monopoly						垄断
weird			怪异的
stereotype						模式化观念
smooth					光滑的，平坦的，圆润的，顺利的，磨平
clumsy						笨拙的，粗劣的，不娴熟的
portable						便于携带的，可移植的
voltage						电压
nuisance						麻烦事，讨厌的人
intensify					加强，加剧
retrieve						取回，检索，挽回
fist								拳
twinkle					闪烁
orchestra				管弦乐队
conform						遵从，符合
fallible					易犯错的，会出错的
fatigue							疲劳，制服
practitioner				从业人员，实践者
Catholic					天主教的
comedy									喜剧
originate						起源，创作，引发
allocate						分配
junior				较年幼的，级别较低的，年少者
cupboard					橱柜
moped				闷闷不乐
plus					加，有利的，加号
optimism						乐观
embody				象征，使具体化，包括，收录
\\\\\\\\
