wedge					楔子，把...楔住
wedge oneself			强行挤入
ceremony							仪式，礼节
suicide					自杀，自毁
swear						发誓，咒骂
considerable						相当大的，著名的
judicial						司法的，公正明断的
catastrophe						灾难
hose					软管
minimum								最低限度
domestic						国内的，家里的
deficit					赤字
leave									离开，使处于，剩下，留下，推迟，许可
abuse							虐待，滥用，辱骂
feature						特征，方面，以...为特色，占据重要位置
escalator				自动扶梯
domain					领域，领土
expand							扩大，增加
corresponding			相关的，相似的
deem						认为
passion							激情，激愤，情欲，酷爱
flour						面粉
collision						碰撞，冲突
ascribe				把...归因于
infest				大批出没于
intervene					介入，阻碍
rectify				改正，修复
temptation								诱惑
smash						击碎，巨大成功
explosive			炸药，易爆的，一触即发的，暴躁的
coach						长途汽车，车厢，教练，辅导
\\\\\\\\
