induce						劝说，导致
curb							控制，限制
untold						不可计量的，无穷的，未讲过的
predisposition				倾向
climax						高潮
remedy						治疗药物，改进措施，补偿
archives					档案，把...存档
magnificent				壮丽的，极好的
toil					辛勤工作
mortal					致命的，极大的，凡人
flutter				拍动，飘动，振翅而飞，骚动
obscure				费解的，鲜为人知的，模糊的，遮挡
deposit					放下，存放，使...沉积，定金
dignity					尊贵，高尚，自尊
lucrative			赚大钱的
hint					暗示，迹象，建议
a hint of			少许
resilience		还原能力，适应能力
sequence			一系列，顺序
aptitude			天资
scrap				碎片，打架，取消
asset							资产，优势
throng			一大群，群集
postmortem		验尸
time					时间，一段时间，时刻，次
elsewhere		别处
monologue		独白
property							财产，住宅，特性
displace						使背井离乡，取代
identical						相同的
gorgeous					令人愉快的，非常漂亮的
\\\\\\\\
