withstand			承受住
deluge						淹没，暴雨
immerse				浸泡，使...沉浸
glorious						光荣的，壮丽的，极度的
sponge				海绵，白得
glimpse				一瞥，领略
consult								咨询，查阅，商量
humdrum				乏味的，单调
crown				王冠
trend									趋势，倾向
stretch					撑大，拉紧，舒展，耗尽，一段
pollinate				给...授粉
article					物件，文章，条款，冠词
haven					避风港，避难所
adopt									领养，提名，移居，采用
protrude				突出，伸出
chapel					小教堂
fake						赝品，伪造的，伪造，假装
moist						微湿的，多汁的
regardless						不理会的，不顾一切的
slate					页岩，石板，抨击，推举
glow					光亮，容光焕发
federation				联邦
cunning					狡猾的，精巧的，狡猾
gust					一阵狂风
chore					例行工作，家务活
absurd							荒唐的
surge				使强烈感受到，急剧上涨
survival									存留，幸存者
ignite				点燃，激发，着火
\\\\\\\\
