gigantic				巨大的
prospect						希望，景色，潜在客户，勘探
term						期限，术语，项，条款，付款，关系
refrain					副歌，忍住
equator				赤道
slam					砰一声关上，使劲扔，猛烈抨击
make a slam			得满贯
render								使成为，提供，描绘，翻译
whatever				任何事物，无论什么，丝毫
steer						驾驶，带领，引导，遵循
affection							喜爱，爱情
hold				握着，拥抱，扣留，持有，认为，举办
lull				间歇，使平静
invaluable				无法估价的
plagiarize		抄袭
acid									酸
mutual						相互的，共同的
publicity						媒体的关注，宣传
grate			磨碎，发出刮擦声，使人气愤
administer		管理，执行，施用
restrain			阻止，制止，抑制
martial			军事的
veil				面纱，掩饰物，遮掩
inflation					通货膨胀
previous						先前的
eclipse			日月食，黯然失色
scarcely					几乎不，根本不，刚一...就
platitude		陈词滥调
incentive						刺激，优惠
mire				泥潭，困境
dispel				驱散，消除
\\\\\\\\
