eternal				永远的，永恒的
stake							桩，赌注，股，奖金
harmony							和谐
literally			逐字的，确确实实的，简直
ascertain					查明
paralysis			瘫痪
timely				及时的，适时的
worship					敬神，崇拜
idiom								成语，方言，风格
safeguard			保护
trumpet				小号，宣扬
spill				溢出，散落，透露，摔下
eddy				漩涡
spectator				观众
spectrum					频谱，范围
ammunition			弹药，证据材料
condolence			慰唁
indigenous				当地的，土著的
constitute					形成，成为
spouse				配偶
plateau				高原，稳定期
implicit			含蓄的，绝对的，内在的
vegetarian								素食者
genetic					基因的，遗传学的
legitimate				合法的，合理的
wisdom						智慧，知识
retort				反驳
adjust							调整，适应
motel							汽车旅馆
\\\\\\\\
