detrimental				有害的
hitherto					迄今
indispensable					不可或缺的
porcelain					瓷，瓷器
mania						燥热，狂热
neurosis			神经症，过分恐惧
dot				小圆点，散布于，打
utterly					完全的
evaporate					蒸发，消失
quest				追寻
coarse			粗的，粗糙的，粗鲁的
resume						继续
integrity						正直，完整
contention						论点，争论，竞争
universal							普遍的，全体的，通用的
opponent							对手，反对者
solar					太阳的
consist							组成
reptile				爬行动物，卑鄙小人
headstrong				固执任性的
complicated						使复杂化
deprive							剥夺
helicopter							直升机
grief							悲伤，麻烦
commission			委员会，委托，使用中
rehabilitate		使...康复，恢复...的名誉，修复
sheet								床单，薄片，大片，倾泻
port								港口，射击孔
outline						轮廓，提纲，概述
eject					喷射，驱逐，弹出
\\\\\\\\
