tendency						倾向，趋势
lunar						月亮的
extend						扩建，延长
journalist							新闻记者
apologetic					表示歉意的
contradiction				矛盾，反驳
meticulous			非常仔细的
anyhow						随便的
draft				起草，选派，征募，草稿
forerunner			先驱，预兆
repetition			重复，重现
emigrate			移居国外
stuffing			填料，填充物
novel								小说，新颖的
observance			遵守，纪念
intellectual				智力的，知识分子
laundry							洗衣店，衣物
indemnity			保障，赔款，免予惩罚
concentrate					全神贯注，聚集
impart								传授，传达，带来
qualitative			性质的
exclusive				高档的，独有的，排斥的
somewhat			有点
appeal							呼吁，上诉，吸引
even					竟然，即使，甚至，恰好，平的，整齐的
intricate			错综复杂的
outfit				全套服装，装备
continuity			连续性
expenditure					开支，花费
sauce							调味汁，无礼
\\\\\\\\
