impact						冲撞，影响
personality					个性，气质，名人
inhabitant				居民
hardy				强壮的
vessel				船，容器，导管
convention				大会，习俗，惯例，公约
coupon				优惠券
grim					严肃的，严酷的，令人沮丧的，坚定的，恐怖的
groan				呻吟，抱怨
invest						投资，使...就职，赋予
crumble			碎裂，崩溃
overhaul			全面修订
commend			称赞，推荐，委托
commend oneself	受到某人的欣赏
peculiar				奇怪的，不舒服的，特别的，特有的
commonwealth			英联邦
deceive				欺骗，使人误信
lax				不严谨的
default					拖欠，默认
monitor						显示器，班长，观察，监测
intermediate		中间的，中级的
nominal				名义上的，微不足道的，正常的
deadly						致命的，极度的
exterminate		消灭，灭绝
contrast					差异，反面，反差，对比
presumably		大概
conservatory		暖房
embed			把...嵌入，使被铭记，使并入
available						可获得的，有空的，单身的
Arctic			北极
onlooker			旁观者
\\\\\\\\
