hinder							妨碍，阻挡
relay										轮换者，转达
medieval						中世纪的，原始的
commit						犯，使承诺，耗费，记下
halt							停止，阻止
conservation							保护，节约，守恒
illustrate					说明，举例说明
function					功能，职责，用途
scent							香味，线索，香水，嗅到
entertainment					娱乐，款待
pregnant									怀孕的，意味深长的
invert					倒置，颠倒
sturdy					结实的，健壮的
spring					春天，跳跃，弹簧，泉
scorch				烤焦，烧焦
panorama				全景，概述
content								满意的，满足，内容
tar		焦油沥青
migrate						移居，迁徙
magnate			巨头
deaf						聋的
contribute						捐献，提出，是...的原因之一
remarkable					出色的，非凡的，引人注目的
affect				影响，打动，侵袭
fellowship				友情，团体
pester			打扰
frugal			节俭的
clamp			夹具，钳制，夹住
masterpiece		杰作，典范
cultivate						耕作，培养，建立
\\\\\\\\
