split							切开，分担，分裂
concession						让步，折扣，特许权
idle						空闲的，无工作的，懒惰的，无意义的
idle about				游手好闲
pragmatic					务实的
dilemma								窘境
lavish					大方的，巨大的
series					一系列，一套
in series				串联的
strait					海峡
sarcasm					讽刺
sensitive					敏感的，善解人意的
rely						依靠，信赖
enterprise								企业，事业
garbage								垃圾，废话
postscript				附笔
segregate				使...分开，隔离，使孤立
cylinder					圆柱体，汽缸
surcharge				附加费
ensue					接着发生
pant						气喘，渴望
stern					严厉的
steady						稳定的，均匀的
abstract								抽象的，抽象，提取
clue							线索，想法
thorough							彻底的，全面的，缜密的
alphabetical				按字母顺序的
democracy					民主国家
seep					渗出，透出
distinction						差别，卓越，优雅
indicator			指示器
persevere			坚持不懈
\\\\\\\\
