literacy					读写能力，专业知识
affirm				断言，申明
denounce					告发，谴责
defect					瑕疵，缺陷，叛变
knit				编织，使紧密结合
marvelous					令人惊奇的，极好的
haunt				常去，缠绕，生息地
preach				说教，宣讲
tariff				关税
prime					首要的，最好的，盛年，事先指点
mist								薄雾
agony					极度
pick					挑选，采摘，拿起，剔，选择
tournament								锦标赛
genius							天才，才干，特征
flicker				闪烁，摆动
hierarchy			等级制度，统治集团
distinguish						区分，使得以区分
chamber				腔，舱
credentials			资格
invigilate			监考
recover							收复，恢复，挽回，利用，康复
artillery				大炮
ventilate				使...通风，公开表达
reproach			责备，耻辱
dump						垃圾场，讨厌的地方，转存，倾倒，抛弃
volume			册，容积，音量，量
coalition		联盟
opening							开幕式，洞，机遇
hit						击，到达，遇到
\\\\\\\\
