opportunity				机遇，机会
savage								残暴的，极度的，猛烈抨击
approximate				大约的，接近
gesture							手势，用动作示意
cape					披肩，海角
commute				通勤，减轻，把...折偿
hazardous						危险的，有害的
curve				曲线，弯曲
catalogue						目录，一系列
abrasion				擦伤处，磨损
agitation				焦虑，鼓动，搅动
accountable				应作解释的，负有责任的
custom				习俗，习惯，惠顾
sporadic				零星的，偶尔的
towel					毛巾，纸巾
knob					球形把手，按钮
a knob of				小块
invariably						一贯的
plumb				铅锤，垂直的，恰恰，完全的，测
triumph					巨大成功，得意
forum							公共集会场所，论坛
decompose				腐烂，分解
confident						自信的
liberal				宽容的，自由的，大量的
sway						摇晃，势力
perplexity				困惑
prospective					预期的
straightforward							简单的，坦率的
marble				大理石，弹子
registrar				户籍管理员
prototype				原型，样品
\\\\\\\\
