oust				推翻
trespass			擅自进入，滥用，罪过
enzyme			酶
smuggle					走私，偷运
petition				请愿书，祈求，请求
tract				大片，道，小册子
tracts of			大片
falter			减少，犹豫
marine						海洋的，航海的
fraction			分数，一小部分
multitude			大量
plunder			掠夺，借鉴
activate					启动，触发
treatise			专著
contemplate				深思，设想，凝视
fibre				纤维
reel				卷轴，部分，蹒跚，感到震惊，旋转
misfortune					厄运
delicious				美味的，宜人的
certainty					必然的事，确定
expedient			适宜的，出于私利考虑的
throat								咽喉
disdain			鄙视，不屑做
inferior						较差的，下级的
magnanimous			宽宏大量的
abortion						流产
commentary			实况报道，评论
plankton			浮游生物
succession			一连串，连续，继承
compile			编制，编写
dimension					尺寸，方面
\\\\\\\\
