traction					拖拉，附着摩擦力，牵引，得到广泛认同
reverent					恭敬的
stubborn							执拗的，难去除的
cemetery					墓地
classic								经典的，传统的，经典作品
melancholy					忧郁的
ultimately						最终，根本上
laborious							艰巨的，生硬的
notion								观念，了解
ensemble					剧团，合奏曲
adapt								调整...以适用
maltreat					虐待
fidelity					忠诚，精确
nap					打盹，短绒毛
foam					泡沫
sculpture							雕塑
charm					魅力，吸引
accuse							指责，指控
ratio				比例
cement			水泥，巩固
cure				治愈，解决，晒干
upbringing					抚育
agreement					同意，协议
unify				统一
maintenance				保养，维持
mischief			顽皮，伤害
centenary			一百周年纪念
twilight			黄昏，衰落期
accommodation							住所，和解
intimate						亲密的，详尽的，暗示
\\\\\\\\
