inject				注射，引入
heir					继承人
postgraduate					研究生
engrave				雕刻
festival					节日
mishap				不幸的事
characteristic							典型的，特征
numerate				算术好的
ridge							屋脊，山脊，隆起
threshold				门槛，关口
profit								利润
premise				前提
seam					线缝，接缝，矿层，宝藏
paraphrase				释义，解释
underestimate				低估
automobile				汽车
square							正方形，广场，平方，扯平的，诚实的
manuscript							手抄本，手稿
gravity				重力，严重性，严肃
condition							疾病
specialize					从事专门研究
undermine							暗中颠覆，暗中破坏，侵蚀
motif					装饰图案，主题
fatuous				愚蠢昏庸的
underwrite				承保，同意承担...的费用
dairy					乳品等，奶制的
conquest				征服，控制
drown						淹死，压过
pseudonym				假名
\\\\\\\\
