coordinate					坐标，协调
designate						命名，指派
athlete				运动员
underline							强调
loath					不愿意的
meddle				管闲事，瞎搞
myth								神话故事，错误观念
coil					把...盘起，卷，线圈
enthusiasm				热情，爱好
guild					协会
excerpt				摘录，片段
jolt						使...震动，震动，震惊
nobility				高贵品质
novelty				新奇
garment					衣服
obedient				顺从的
drill							钻，练习，正确步骤
dodge					回避，躲闪，诡计
gymnasium				体操馆
part									部分，职责，方面，地区，分开
deflate				放掉...的气，使泄气，紧缩
clasp					握紧，抱紧
drench				使湿透
ecology					生态
guardian				保卫者，监护人
pit					深坑，凹陷，矿井，使...竞争
pits					最坏的东西
conflict							冲突
sympathetic			有同情心的，赞同的，合意的
objective						公正的，客观的，目标
electrical					电的，用电的
\\\\\\\\
