turbulent								猛烈的，动荡的
invade						侵略，侵扰
permanent								永久的
fundamental							基本的，全然的，根本的
receipt								收据，收到
profuse				大量的
extort				敲诈，榨取
spacious					宽敞的
velocity				速度
checkup				体格检查
landscape	形势
convene				召开，开会
cork					软木，软木塞
increment				加薪，增加
host								主人，主持人，主办
suspense				焦虑，暂时搁置
infringe				违背，侵犯
discern						分辨出，觉察到
shimmer				闪烁，蒸腾
medal								勋章，奖牌
negation				对立面，否定
venture				企业，探索，大胆说出，敢
fantastic					非常棒的，极大的
line					线，轮廓，排，行，方式
suspend								悬挂，暂停，推迟，使悬浮
faint					微弱的，渺茫的，眩晕的，昏厥
due								到期的，应有的，适当的，因为
reticent				缄默的
deduce					推断
renovation				翻新
\\\\\\\\
