recite						背诵，例举
dubious				犹疑的，可疑的，不一定好的
invalid						残疾人，退役，无效的
exuberant				热情洋溢的，过度的
autonomy				自治，自主
damp								潮湿的
aspire					渴望
transmission			传染，播送，变速箱
toast					烤面包片，干杯
circus						马戏，喧闹的场面
qualification						资格，素质
lounge					客厅，休息室
dip					浸，俯冲，暂时下降，伸手掏
tenacious				顽强的，执着的
rub					按摩，摩擦，擦拭，涂抹
chasm					深坑，鸿沟
mind								思维，意见，记忆，意愿，注意，介意
justify							是...的正当理由
transfer						调动，转移，使转化，改编
physique				体格
technician							技师
protein				蛋白质
ambiguous									有歧义的，意义含糊的
fascinate					迷住
gradual					逐渐的，平缓的
recruit						新兵，新成员，征募
convey								表达，传达，运送
obligation					义务，责任，债务
testimony					证词，说明，证明
fragment						碎片，片段，使...分开
\\\\\\\\
