moderate				中等的，有节制的，温和的
endeavor				努力，尝试，事业
sort					种类，某种，把...分类，有点
conceal				隐藏，掩饰
mandate				授权，命令，委托书
crumple			弄皱，崩溃
arch				弓，足弓，调皮的
supervise				管理，监督
territory						领土，地盘
swift								迅速的，速度飞快的，雨燕
robust				强壮的，坚定的，醇厚的
unravel				解开，澄清
responsive					热情的，反应灵敏的
weld					焊接
accumulate								积累
oval						椭圆形的
gratitude					感激之情
circumference			圆周
congestion				拥挤，充血
sociology			社会学
pinnacle			顶峰
prevalent				流行的，普遍的
hereditary			世袭的，遗传的
speciality				特色服务，特产
stock							存货，储备，股份，名声
propose					提出，打算，提名，求婚
epoch				时代
mirage			海市蜃楼，妄想
supplementary		补充的，附加的
chart						图表，地图
\\\\\\\\
