delirium				神志失常
pole									柱，杆，地级，磁极
herd						群，民众，放牧
stitch				一针，针法，缝线，缝
slag					煤渣
slag off				贬损
consolidate				加固，整合，合并
civic					市政的，市民的
clash					冲突，有分歧，不协调，争论
distract						使...分心，给...以消遣
strap						带子，皮鞭，用带子固定
format						样式，格式
company								公司，陪伴，客人
trench				沟渠，战壕
vain						自负的，徒劳的
exempt				被免除的，免除
mask							面罩，伪装，掩盖
dwell					居住，存在
misgiving				担忧，疑虑
vex					使恼火
fare							票价，食物，进行
external				外在的，外界的，对外的
sue					控告，起诉
haphazard				杂乱的
allot					分配
psychiatry				精神病学
out										在外面，公开，结束
posture				姿势，仪态，立场
recycle							回收利用
expose					揭露，暴露
perception						感觉，洞察，看法
\\\\\\\\
