unemployment							失业
fallacy						谬论
incline						弯下，使...倾向于，弯腰，倾向
prohibit							禁止，阻止
zoology						动物学
elicit						引出
numerical						数字的
solvent						有偿付能力的，有溶解力的，溶剂
correspondence				相似，通信
epidemic					传染病，蔓延，泛滥的
disrupt						使...中断，扰乱
humiliate				羞辱
medium								中等的，媒介
ripple				细浪，波动
curse							咒语
scandal					丑事，愤慨，流言蜚语
counsel						劝告，建议
stagger				蹒跚，使震惊，使交错
capsule							胶囊，航天舱，瓶封
imperative					迫切的，必须服从的
recipe								食谱，诀窍
drift						漂流，顺其自然，流动，偏航
hum					嗡嗡声，哼曲子，活跃
generic				普通的
referendum				公民公决
fluid					液体，流体，流动的
authentic							真品的，真实可信的
swamp					沼泽，淹没
shrug						耸肩
flush					红晕，一阵强烈感情，冲洗，生机勃勃
\\\\\\\\
