repatriate					遣返
parachute					降落伞
dam						水坝
warden				管理员
pursuit				追逐，爱好
catch									捕获，抓住，使意外，察觉，击中
plot						小块土地，密谋，情节，绘制
reverse							相反情况，失败，相反的，倒档
purity				纯净，纯洁
statistics						统计数字
tenable				站得住脚的，可保持的
tangible				可触摸的，明显的
dismiss					对...不予考虑，彻底忘掉，解雇
invoice				发票
nutrition					营养的供给
gaunt					憔悴的，荒凉的
defendant				被告
fluctuate					波动，摇摆不定
enhance						提高，改善，增加
terrific				巨大的，可怕的，很棒的
display				陈列，展品，表演，显示
symphony							交响乐，和谐
tonic					使精神振奋的东西，滋补的
tissue							生物组织，纸巾
tuition						讲授，学费
journal				期刊，日报，日记
kernel				仁，籽，核心
thumb					拇指
prospectus				简介
diagnose				诊断
\\\\\\\\
