extra				额外的
dwindle				逐渐变小
patch				补丁，眼罩，地盘，时期
a patch of			小片
sketch				素描，概述
mean							意味着，打算，注定，吝啬的，出色的，平均数
trace								痕迹，微量，小路，查出
defence				保卫，防御物，辩解，防守，卫冕
expulsion				开除，排出
potential						潜在的，可能的，潜力
passport									护照，途径
craft					工艺，熟练的制作
gleam					微光，闪耀
a gleam of				一丝
overflow						溢出，挤满
solemn					严肃的，郑重的
vegetation				植被，无所事事
pliable					易弯的，易摆布的
apprehension				忧虑，逮捕，看法
rave						咆哮，热烈赞扬
locomotive				火车头，运动的
entrepreneur				企业家
doubtful					不大可能的，不确定的，令人生疑的，有问题的
morbid					消极的，病态的
violent								残暴的，猛烈的，突然的
exemplify					是...的典型，举例说明
cease					停止
rotate					旋转，轮换
solution								解决办法，溶液，答案
identify						辨认，认出，联系，认为...等同
paramount					首要的，至高无上的
combine							混合，搭配，使结合
\\\\\\\\
