avalanche				雪崩，大批
apparatus				设备，机构，器官
ditch				沟，抛弃
range							种类，系列，范围
colossal				巨大的，大规模的
slim								纤细的，些许的，减肥
pavement				人行道，路面
random					随机的，随意的
disturb					打扰，弄乱
terrify					使恐惧
keep				使保持
physician				医生
precious					贵重的，做作的
insane			精神失常的，疯狂的，发怒的
code							密码，规范
entitle					使享有权利
alternative							可供替代的，非传统的，选择
criterion					标准
ward							病房，选区
assess							估算，评价
flesh							肉，皮肤，肉体，肉欲
stuntman					特技替身演员
via							经由，通过
framework							构架
pose							摆姿势，构成
competitive			好竞争的，竞争的，有竞争力的
confine					禁闭，限制，
natal				新生儿的，出生的
flame							火焰，燃烧
surmount				克服，解决，居于...之上
\\\\\\\\
