comparable				比得上的，相似的
transparent						透明的，显而易见的
lens						透镜
crush						压坏，压碎，挤，热恋
condemn							谴责，判处，迫使...接受困境
precedence				优先，级别高低
organ							器官
staple					主要的，主食，订书钉
differentiate		区分，使不同
engage							吸引，使参加，雇用，从事
truant					旷课的学生，逃学的
embassy								大使馆
alienate		使某人感到被孤立
obligatory	强制性的，习惯性的
predominant			占优势的，明显的
indifferent						漠不关心的，一般的
delete							删去
cart					大车，携带
translucent			半透明的
posterity				后代
curriculum						课程
forgive								原谅
component						零件，组成的
granular			含颗粒的，粒状的，粗糙的
scrutiny			仔细的审查
wary				警惕的
relevant						有关的
spiritual						精神的
hectic			忙乱的，狂乱的
phenomenal		不寻常的
\\\\\\\\
