guarantee						保修单，保证
lame									瘸腿的
nuance				细微差别
destination								目的地
irrespective			不考虑
drudgery				苦活
saline				含盐的
descent					下降，下坡，血统，堕落
cognitive					认知的
submerge						淹没，掩盖，潜入水中
concoct				调制，编造
anxiety					焦虑
ungainly				笨拙的
impetus				动力，促进因素
asylum				避难
conjunction			结合，连接词
one								一
visualize					使形象化，预想
ephemeral				短暂的
pants				裤子，废物
thermostat			温度自动调节器
stimulate					刺激，促进
manufacture					大量生产，生成，编造，工业品
defiance				违抗
moreover				此外
veto					否决权，禁止，否决
combat				战斗
symptom						症状，征兆
casual							偶然的，随意的，临时工，便装
concerted				音乐会，合作
\\\\\\\\
