subsidiary				子公司，次要的，附属的
insolent					粗鲁无礼的
permit								许可，准许
dreary					阴沉的，枯燥乏味的
merit							价值，荣誉，长处，值得
torrent					急流，倾注，连发
flatter					奉承，使...感到荣幸，使...更漂亮
flatter oneself			自命不凡
layoff					解雇，休养期
evaluate						评价，评判
vent						出口，排放，发泄
compact								坚实的，小巧紧凑的，协议，压缩
productivity				生产率
unconditional						无条件的
lurk						潜伏，闲逛
lurking					潜藏的
stress									精神压力，紧张，强调
zest						热情，趣味
rival							竞争对手
fragrance					香味，香水
comply					服从，遵守
trustworthy				值得信任的，可靠的
stain								弄脏，玷污，污点
patent								明显的，专利权
harassment				骚扰
dwarf			侏儒，矮小的
appraisal			评价
painstaking		艰苦的，细心的，勤勉的
frail			脆弱的，意志薄弱的
competence					能力，技能，权限
airing			晾，通风，公开
deny						否认，拒绝给予
\\\\\\\\
