residence				住所，居住
achieve							达到，实现，取得
intellect				思维能力，智力
commonplace				普遍的
drowse				打盹
aquatic				水生的，水上的
cheer					使振奋，欢呼
charity						慈善机构，慈爱
lock				锁，闸，夹，锁上
posthumous		死后获得的
puncture			刺孔，刺破
corporate							全体的，公司的，联合的，企业集团
proclaim			宣布，表明
fame				名气
trifle			琐事，少量
a trifle			稍微
pervade			弥漫于，遍及
scar							疤，瑕疵，
unconscious								失去知觉的，未意识到的
investigate					调查，审查
oasis				绿洲，乐土
hard					困难的，坚硬的，辛苦的，用力的
orthodox				传统的，普遍接受的，规范的
salvage			打捞，挽回，回收利用，抢救
confusion			困惑，混淆，窘迫
exceptional						例外的，杰出的
drought						旱灾
null				无法律效力的
fetch						接来，取来，售得，给以
harness					保护带，利用
\\\\\\\\
