trivial				不重要的，无聊的，狭隘的
ease									容易，轻松自在，减轻，小心的移动
furnish					为...配备家具，提供
paraphernalia				各种物件，烦琐的手续
extent					大小，严重性，程度
instrumental				对某事物起重要作用，器乐的
exorbitant					过高的
combustible				可燃的，易激动的
address							地址，演说，称呼
junk									垃圾，丢弃
reputation								名声
obstruct			阻挡，堵塞
enclosure			围场，附件
telecommunication	电信学，电信
custodian			保管人，卫士
meditate			冥想，沉思，谋划
oblige					强迫，帮助
versus					相对，对
timidity			胆怯
volatile			易挥发的，变化无常的
indignant					义愤的
seal								海豹，密封，印章，保证，达成
sovereign			元首，至高无上的，有主权的
cute				可爱的，机敏的
navigation				导航，航行
shock									震惊，休克
account						账户，账单，描述，利益
main					主要的，总管
repertoire				常规节目，全部本领
void					空白，无效的
\\\\\\\\
