regarding					关于
contract					合同，感染，收缩
resolve						决定，解决
virtuous					品德高尚的，自命清高的
incredible						难以置信的，美妙的
compensate							赔偿，补偿
hysterical				歇斯底里的，极可笑的
hug						拥抱，紧挨着
inhabit					居住于，栖息于
tweezers					镊子
oversee					监视，监督
lateral					侧面的，横向的
scroll					卷纸，滚屏
outset					开始
imperial						帝国的
upkeep					保护，保养，维护费
voluntary					自愿的，无偿的，随意的
relentless				没完没了的，不懈的，无情的，固执的
glide					滑动，滑翔，滑行
splendid						壮丽的，极好的
freak						畸形，怪人，怪事，反常的
dynamic							充满活力的，动态的，动力
cardinal				红衣主教，鲜红
of cardinal importance	极其重要的
lace					花边，鞋带，系上，掺
derelict				破败的，荒废的
viable				切实可行的，能存活的
fusion				熔合，合并，混合体
recede								后退，渐渐远去，相后倾斜，变得模糊
prophecy				预言能力，预言
\\\\\\\\
