paranoia				多疑
alongside							在...旁边
canteen						食堂，水壶，餐具柜
supreme								至上的，卓越的，极度的
reasonable					明智的，合乎情理的
naught				无
unfold					展开，披露
cushion							垫子，缓冲物
mimic					善于模仿的人，模仿，和...相似
vicinity				邻近地区
in the vicinity of		大约
toss					扔，拌，甩，抛，摇摆
refine					提炼，改进，使...优雅
shred				细条，些许，撕碎
disperse			散去，驱散
edition						一份，版本
fetter			束缚
Renaissance			文艺复兴
renaissances		复兴
proceedings			事件，诉讼
abridge			删节
dome						穹顶，半球形物
reckon						认为，觉得，估计，计算，希望
rarely			难得
rural				农村的
imitation			效仿，人造的
steward					乘务员，管理员，管家
abound			大量存在，丰富
colonial					殖民地的
immense						巨大的，艰巨的，严重的
placard			标语牌，海报
client									委托人，客户
\\\\\\\\
