ego					自尊，自我
muscular				肌肉的，强有力的
exterior				外部，外表，外部的
accommodate							容纳，关照
violate								违反，亵渎
jealous					嫉妒的，小心守护的
initiate					开始，使...加入，传授
concrete						具体的，混凝土
unrest									动乱
apply							申请，应用
havoc				大破坏，大混乱
poster							海报
entangle				缠住，使卷入
purge				清楚，净化，清洗
sponsor					赞助者，资助，倡议
title									名称，职衔，冠军，所有权
steamer				汽船，蒸锅
scorn				轻蔑，鄙视
inertia				不活动，惯性，惰性
audition				试演，对...进行面试
meadow				草地
pamper				纵容
memorandum						备忘录
reluctant						不情愿的
ragged				破烂的，参差不齐的，粗劣的，精疲力竭的
tentacle				触须，影响范围
territorial			领土的
album							册子
restore					修复，使...复职，使...复元
creep				悄悄行进，逐渐发展，讨厌鬼
\\\\\\\\
