make										制造，使变成，赚得，进行
attach						固定，附属
galaxy					星系，群英
encounter					遭遇，邂逅
suitcase						手提箱
stall					货摊，失速，熄火，拖延时间，停顿
staff					全体职员
curtail					限制，减少，缩短
wail						号啕大哭，呼啸
thereby					因此
mediocre					普通的，平庸的
valley									山谷
tolerance					宽容，忍耐力，公差
renowned					著名的
conspiracy					阴谋
protocol					礼仪，协议
picnic								野餐
dazzle					使目眩，使倾倒，耀眼
malnutrition				营养不良
plight					困境
afflict					使痛苦
detergent					洗涤剂，洗涤的
engross					使全神贯注
score						得分，夙愿，欠账，划开
awkward						不方便的，令人尴尬的
preserve								保护，拯救，果酱
fruition					实现，完成
cane						茎，手杖，笞条
inhibit					抑制，妨碍
pilot						飞行员，驾驶
\\\\\\\\
