logic					逻辑学，理由
singular					单数形式，单数的，非凡的
hell						地狱，磨难，非常
practical						实际的，切实可行的
shuttle					往返运行，往返两地的运输工具
offset				抵消
destiny				命运
disorder				混乱，失调
denial				否认，脱离关系
spin							快速转动，纺，编造
onset				开始
native						出生的，当地的，本地人
overwrought			过分紧张的，过于细腻的
roast							烤，猛烈抨击
survey				调查，测绘，概述
profile			侧面，形象，轮廓，概述
offspring			子女
practicable		可行的，适用的
discharge						解雇，流出，履行，出院
chorus						合唱队，齐声说
statute			成文法，章程
latitude			纬度，自由
rot								腐烂，恶化
phase				阶段
ruffle			弄乱，快速翻动，竖起，扰乱，使生气
diverse						多种多样的
wicked			烛芯，灯芯，火芯
omit				删除，疏忽
diploma						毕业文凭
crack			裂缝，漏洞，噼啪声，猛击，尝试，裂开
\\\\\\\\
