remittance		汇款额
vibrate			颤动，震动
controversy					争论
microbe			微生物
frustrate					阻挠，挫败，使...心烦
omen				征兆
fraught			充满，忧虑的
disclose			使...显露，透露
superb						极好的，豪华的
talented			才华横溢的
hydrogen					氢
stagnant			不流动而浑浊的，停滞的
obstacle					障碍
pour							倒出，倾注，蜂拥而来
respiration		呼吸
aware						意识到的，有知识的
sectional			组合式的，阶层的
crisis						危机
procure			设法获得
trigger						板机
discrete			分离的，不相关联的
stabilize						使...稳定
nursery							日间托儿所，儿童室，温床
apt				易于做某事，恰当的，聪明的
whip				鞭子，书面通知，抽打，煽动，猛的挪动
protest							抗议，抱怨
thigh			大腿，鸡腿
trickle			小股流淌，缓缓移动，使...滴下，细流
reward							报偿，值得
outlaw			被剥夺法律权益者，宣布...为非法
\\\\\\\\
