chisel			凿子，雕刻，诈骗
ideal				理想的
rivet			铆钉，铆接，使...固定，吸引住
equitable			公正的
thesaurus			同义词词典
penetrate			进入，穿透，渗透，看透，被理解
dilate			扩大，扩张，详述
participate				参加
provision				供给，准备，规定
emphasize						强调，重读
plank			木板，要点
rig				设备
pedal			踏板，用脚蹬，骑自行车
inert			不活动的，惰性的
tactic			策略
plague					瘟疫，灾祸，困扰
deserve						应得
communication							交流，信息
clinic							诊所
nickel			镍
orderly					有序的，守秩序的
faith							信心，信任，信仰
upset								使苦恼，打乱
sabotage			蓄意破坏
slice					薄片，部分，切，削
fantasy									幻想
expire			到期，结束，呼气
manacle			镣铐
discipline						纪律，惩罚，学科，训导
foul				污秽的，令人不快的，恶劣的，邪恶的，犯规
\\\\\\\\
