sacred				神圣的，宗教的，受尊崇的
suspect						推测，怀疑，嫌疑犯，不可信的
face						脸，外表，表面，面对
narrative				叙述的，叙述，讲故事
oblong				长方形的
sacrifice						牺牲
pacify				安抚，平定
cocaine				可卡因
interpret				解释，理解，做口译
conducive				有助于
tremble						颤抖，担心
rack					支架，行李架，使...痛苦不堪
carton				纸板盒，塑料盒
perish					死亡，腐烂
scatter				撒，随处放置，驱散，散开
tension						紧张，张力，对立，电压
exclude						拒绝...参加，排除，开除
flake					小薄片，剥落
linger					逗留，留存
plug						插头，塞子，塞住，宣传
truce					停战
issue						问题，期，发放，子女
schedule						计划，安排
yard					码，庭院，堆场
navigable				可通航的
vehement				强烈的
eliminate						排除，消除，淘汰
prejudice									偏见，侵害
dual					双重的
essential						完全必要的，本质的，必需品，基本要素
\\\\\\\\
