promote							晋升，促进，推销
appreciate						感激，意识到，欣赏，升值
motto									座右铭
toddle			蹒跚行走，闲逛
feud				世仇，夙愿
census			调查，统计
archaic			古代的，过时的
dissolve					使溶解，解除，破灭，解散
carrier							运输公司，运输工具
cue				暗示，榜样，球杆
impromptu			即兴的
amaze								使大为惊奇
weary			疲惫的，倦怠
assurance			保证，自信，保险
automation		自动化
undertake							承担，从事
pessimism			悲观情绪
proxy			代理人
heal				治愈，减轻，纠正
stale							不新鲜的，厌倦的
destructive				破坏性的，消极的
pounce			猛扑，一下抓住
deliver						递送，移交，发表，履行
defy									反抗，激，使不可能
delegate			委托，委派，授权，代表
evade					逃脱，逃避
hilarious			极其滑稽的
septic			化脓的
pave						铺
roar			咆哮，大喊
\\\\\\\\
