literature					文学，宣传册
historic						历史性的
tune					曲调，给...调音，调节
aggressive							好斗的，积极强硬的
identification						坚定，认同
fuss							小题大做，争吵，烦恼
geometry								几何学
transit				运输，通过
potent				迅速见效的，强大的
transition				过渡
commotion				喧闹声，骚乱
tropic				回归线
tropics				热带地区
assert						断言，主张
malleable				有延展性的，易受影响的
resolution			坚定，决心，解决，分解
fleet						舰队，海军
summary				总结，即决的，概要的
irony								反语，具有讽刺意味的事
perspective				透视法，观点
polar							极地的，截然对立的
attendant					服务员，陪伴者，伴随的
handicap			残障，障碍
eligible					有资格的，合意的
crooked			弯曲的，不诚实的
diplomatic						外交的
plough					犁，耕地
riot								骚乱，丰富多彩
absorb								吸收，掌握，吸引，吞并
parody			滑稽的模仿
gear							用具，设备，所有物，排档，使...适合于
\\\\\\\\
