errand				差事
microcosm				缩影
inapt				不恰当的
decent							正派的，得体的，像样的
utility					实用，实用的，公共事业
sterling				英镑，出色的
ominous				不详的，威胁的
erect						直立的，建造，竖起
immigrant						移民
periphery				外围，次要位置
execute				执行，表演
arbitrary						武断的
interact					相互作用，交流
spectacular				壮观的，惊人的
layman					外行
rust				锈，生锈，荒废
elderly			上年纪的
the elderly		上年纪的人
prolong					延长
whereby			凭此，因此
jog				轻推，刺激，慢跑
persist				持续存在，坚持不懈
settle								飞落，沉降，安放，解决
hawk							鹰，推销
heritage		遗产
pad			软垫，便笺簿，住所，蹑手蹑脚的走
ongoing					持续的，发展中的
souvenir		纪念品
pastime		消遣
\\\\\\\\
