foster					培养，抱有，养育
exaggerate							夸大
gracious				亲切的，优裕的，天哪
familiar							熟悉的，常遇到的
physiological			生理的
warehouse					仓库
solitary				独自的，孤单的
complication			难题，并发症，错综复杂
redeem			赎回，兑换，弥补，履行
redeem oneself		补救
turnover			营业额
sanction			准许，处罚，
motivate						促动
thorn				刺，荆棘
involve						需要，影响，使参与，吸引
architect						设计师
particle						颗粒
accord			一致，协议，给予
accord with		与某事物相符
pay					付费，盈利，有利，薪金
pharmaceutical		药物的，制药的，药物
insult						辱骂，侮辱
tug				拉，拽
constituent		成分，组成的
piecemeal			零碎的，一点一点的
decimal			小数，小数的
starch			淀粉
invincible			不可战胜的，不动摇的
anchor						锚，精神支柱
avail							收益
isolate				使脱离，隔离，使...孤立
limp				无力的，无精神的，跛行
\\\\\\\\
