flavour			味道，特色，给...调味
exchange						交换，争论
pamphlet			小册子，传单
module				模块
gentle							温柔的，善意的
annoy							惹恼，打搅
luminous			发光的，鲜亮的
exclaim			呼喊
pertinent			有关的
certify							证明
revenue						收入
insurance					保险
authority					权力，权威，来源
endorse			支持，认可，宣传
wrap				包，外衣，围巾，自动换行
under wraps		保密状态
lenient			仁慈的
pompous			自负的，浮夸的
decorate					装饰，颁授，装潢
infinite							无限的，极大的
perplex			使困惑
snatch							抢走，抓紧时间做，争抢，抓，片段
sweep								清扫，横扫
odour				气味，意味
rip				撕破，裂口
livestock			牲畜
unlikely			不大可能的
signature								签名
grieve			感到悲伤，使伤心
dizzy								头晕目眩的，困惑的
ancestor				祖先，原型
\\\\\\\\
