undergo					接受，经历
sprawl				伸展四肢坐，蔓延扩展
trek					长途旅行
equation				方程，等同
mould				模具，类型，紧贴
depict				描画
grease				润滑油
insolvent				破产的
misery				痛苦，苦难
zeal					狂热，热情
erupt								喷发，爆发，突然长出
compliance			接受，服从，顺从
apparent								明显的，表面上的
ore					矿石
temper				脾气，情绪，怒气，缓和
atlas				地图册
fuse					保险丝，导火线，熔接，结合
antecedent			前事，祖先，先前的
inflict				带来，强加
declare						宣告，表态
generate						产生，生成，创造
regeneration			革新，再生
jagged				一阵
impressive			令人印象深刻的，很大的
parallel					平行的，同时的，纬线
patio				露台
overdue				到期未付的，迟来的
amount						数量，金额
cast						描述，铸造，扔，投射，全体演员，类型
\\\\\\\\
