lodging				寄宿
dingy				昏暗的，暗淡的
temperament				性情，喜怒无常
shabby					破破烂烂的，不公正的
foremost				最前面的，最重要的
merge									合并，融合
attorney				代理人
militant				好斗的，好战的
wrinkle				皱纹，褶皱，起皱
maintain						维持，供养，坚称，保养
editorial				社论，编辑的
kin					亲属
contend				斗争，竞争，主张
partition				隔墙，分割
outbreak				爆发
authoritative				专断的，权威性的
slippery						滑的，棘手的，靠不住的
goal								球门，进球得分，目标
outstrip			比...跑得快，超过
preceding			在前的
transform					改变
skim				撇去，盗用，仿制，掠过，浏览
insure						给...保险，投保
debris				残骸，垃圾
hemisphere					半球体
dominant						支配的，显眼的，首要的
antonym			反义词
emerge							出现，摆脱
squeeze							挤，榨，塞入，挤压
nicety			精确，细节，优雅
\\\\\\\\
