role				角色，作用
remind						提醒，使想起
torture			酷刑，折磨，拷问
condense			使...凝结，使...凝缩
exclusively		仅仅，独家的
integral						必需的，完整的，内置的，整数的
token			代金券，象征，象征性的
shift						挪动，转移
taxation			征税，税收
tow				拖
In tow			紧随，陪伴着
reliable						可靠的，准确的
deft				熟练的，巧妙的
potion			饮剂
disarray			杂乱，混乱
overall				总体的
resource			资源，智谋
resources		财力，人力，才智
species					种
platform								舞台，政纲，平台
elastic			有弹性的
tenancy			租赁
minimal				最小的
inevitable								必然发生的
contradict					与...相矛盾，反驳
subsidy						补贴
flare				火光，照明灯，闪耀，爆发，张大
digest						消化，理解，摘要
din							嘈杂声，轰鸣声
to din sth into sb	反复叮嘱
shoal				鱼群，一大群人，浅水处，沙洲，陷阱
hasty									匆忙的，草率的
insulate					使隔绝，使...绝缘，使分离
\\\\\\\\
