colony			殖民地，有相同特点的人群，群体
repent			忏悔，对...后悔，自责
illusion				幻想，假象
enrolment		注册，注册人数
chaos						混乱
pine							松树，想念，悲痛
transfuse		使弥漫，给...输血
comic			滑稽的，喜剧的，漫画杂志
infectious								感染性的，富有感染力的
liable			可能的，有...倾向的，负有法律责任的，应受罚的
composite				复合的，合成物
moustache									小胡子
acquaint				使了解
acquaint oneself		使自己了解某事物
adjoin				毗邻
sphere						球形，领域，阶层
anecdote					轶事
compartment					车厢，隔间
durable						耐用的，耐用品
growl				吼叫，粗暴地说
submit							投降，遵从，提交，主张
arrogant				傲慢的
persecute				迫害，纠缠
slot				狭缝，槽沟，时段，职位，插入
access									入口，享用机会，进入，存取
terrestrial		地球的，地面上的，陆生的
crater			陨石坑，火山口
charge							收取，指责，费用，主管
nurture					扶持，培养
splash			飞溅，轰动，色块，泼
a splash of		少量
modest								谦虚的，适中的，简朴的
\\\\\\\\
