chant								吟唱，吟诵
rupture			断绝，破裂
ritual					仪式，惯例
leaflet			传单
subsequent				随后的
aviation						航空
fraud			诈骗，骗子
initial								首字母，开始的
erase			擦掉，删除，消灭
readily			乐意的，容易的
limb				肢体
mint				铸币厂，大量的钱，簇新的，铸造，薄荷
pitch			场地，强度，宣传用语，斜坡，投掷，使...有针对性
counter						柜台，筹码，反驳
dedicate								献出
vindicate			证明...无辜，证明...有理
current						当前的，流行的，电流，趋势
flaunt			炫耀
parliament			议会
specification				明确说明，规格，要求
anniversary				周年纪念日
homestay			家宅，农庄
scan						仔细观察，扫描
grace					优雅，宽限期，大度，优点，装饰
cite							引用，举例，嘉奖
tranquility		平静，安宁
severe									严重的，严肃的
excess						过量，过多的
considerate						体贴的
\\\\\\\\
