distort					使...扭曲，歪曲
corpse				尸体
entity				实体
wander					游荡，闲逛
acute							极度的，急性的，锐角的
delectable			美味的，迷人的
context						环境，上下文
dominate						统治，主宰，占优势
flyover				立交桥
quaint				古色古香的，老派的
dispose				使倾向于，布置
regulate						控制，调节
antibiotic			抗生素
influence							影响，势力，作用
vein			血管，矿脉，纹路，语调
obsession	着迷，执念
capital								大写字母，首都，好处
swerve		突然转向，背离
remnant		剩余部分，残迹
tilt			倾斜，尝试，倾向
pass				通过，行进，转移
opaque		不透明的，浑浊的，难懂的
prestige					威望，有声望的
precipice		悬崖，险境
outskirts		市郊，边缘
refusal						拒绝
patrol		巡逻
ambassador				大使
shower							阵雨，一阵，淋浴，乌合之众，使纷纷降落
dilapidated		破旧的
\\\\\\\\
