scalpel			解剖刀
complexion		肤色，性质
outcast			被抛弃者
prior						在先的，优先的
pimple			丘疹
theft					偷窃
compose						组成，创作，构思，整理
infect							传染，污染，影响
symmetry				对称
significant					重要的，有意义的
currency							货币，通行
prelude				前奏，序曲
typhoon				台风
discriminate			区别对待，区别
drawback								缺点
vacant						空缺的，心不在焉的
track						足迹，路径，铁轨，跟踪
culture								文化，种植
excavate			挖掘，发掘
fit								健康的，适合的，几乎要...的，安装，合适
motion				运动，手势，动议
expel									开除
allowance							补贴，限量
coward			胆小鬼
germ				微生物，种子，开始
flash								闪光，闪现，飞奔，华丽的
subtract			减去
glitter			闪光，魅力，闪闪发光
predictable		可预计的，墨守成规的
undue			过度的
\\\\\\\\
