vanish						消失
gallery					美术馆，瞭台，拍卖厅
manual					体力的，手的，使用手册
whereas					然而，鉴于
glare									怒视
fret						苦恼
admission									准许进入，承认
criminal							罪犯，犯罪的
drastic					极端的，剧烈的
lucid						明白易懂的
simultaneous					同时发生的，同时进行的
static					静止的，稳定的
redundant					被裁减的，多余的
elite						精英
economic							经济学的，经济的，有利可图的
destine					指定
janitor					看门人
thermometer					温度计
advertise								公布，为...做广告
commence				开始
project					项目，投掷，展现
retail						零售
rear					后部，抚养，抬高
vital								必不可少的
mission						任务，代表团，使命
paralyse				使...瘫痪
massive						大的，严重的
glacier				冰川
oxide					氧化物
\\\\\\\\
