dart						飞镖，猛冲，缝褶
coincide					同时发生，相接，相符
consecutive				连续的
gamble					赌博，冒险
committee								委员会
dumb						不能言语的，愚蠢的
hygiene					卫生
smother					使窒息而死，厚厚的覆盖
wilderness				荒野
signal							信号，标志，传达，表明
furnace				熔炉
confess					认罪，承认，忏悔
minority				少数，未成年
nostalgia				怀旧
cautious						小心谨慎的
pillow							枕头，垫子
adjacent				毗连的，相邻的
transcript			抄本
crevice				裂缝
slander				诽谤
subdue				制服，征服，克制
magnify					放大，扩大
neutralize			抵消，摧毁，使...中和
stripe				条纹，臂章，类型
suite						一套家具，套房
nothing					没有什么，琐碎之事，一点也不
siege				围困，包围
consequence					结果，重要性
manure				肥料
\\\\\\\\
