mobile						可移动的，适应性强的
solidarity				团结
glue										胶水，目不转睛
misguided				受误导的
vigorous				有力的，强健的，坚决的
cricket				蟋蟀，板球
novice				新手
likelihood				可能性
premium					附加费，优质的
genial				欢快的，友好的
ludicrous			荒唐可笑的
prestigious			有声望的
oblique				倾斜的，间接的
overhear				无意中听到
anticipation			预料，期望
chaste				贞洁的，纯洁的
explore					勘查，探索
pungent				刺激的，尖锐的
indulge					纵容，满足，沉溺
simplify							简化
vicious				凶狠的，恶毒的，剧烈的
counterbalance		对...起平衡作用，平衡重物
kit					成套工具，装备
shrub				灌木
sceptical									怀疑的
comprise			由...构成，组成
pathetic			可怜的，严重不足的，无用的
mall						购物中心
manipulate					操纵，控制，篡改
rational						理性的，合理的
\\\\\\\\
