inference			推断
summon				召唤，召集
observe							注意到，观察，遵守，庆祝
exotic					来自异国的，异常迷人的
superior							上等的，更好的，上司
single							仅一个的
spectacle					精彩的表演，奇观
equilibrium			均衡，平静，平衡
soluble				可溶的，可解开的
gale							大风
crust				面包皮，硬层
junction				会合处，交叉路口
heap										堆，大量，倾注
mourn							哀悼
hound				猎狗，纠缠
mutation				突变，转变
mantle				壁炉台
superfluous			多余的
set						放置，设定，镶嵌，落下，一套，固定的
insert							插入
portray								画，描绘
studio						制作公司
ashamed							惭愧的
arise								产生，起身，升起
repel			击退，使厌恶，排斥
flux				不断的变动
raw								生的，未经处理的，无经验的，不公正的
elapse			流逝
diffuse				使...扩散，传播
delicate								精美的，易损的，纤弱的，精密的
\\\\\\\\
