vow				对...立誓，誓言
vows				誓约
gist				主旨
specific							详细的，特有的
candidate								候选人
magistrate		地方执法官
accessory					附件，装饰品，从犯
submarine				潜艇，海底的
thermal			热的，保暖的
thermals			保暖内衣
indelible		不褪色的，无法忘记的
protract			拖延
quit							停止，辞去，退出
ramble			漫步，漫游，漫谈，蔓生
lash				睫毛，鞭打，猛击，捆牢
pottery			陶器
prosecute				起诉，继续进行
aggravate					使恶化，惹恼
mediate			调解
conscience						良心，内疚
scenery						风景
chronic								慢性的
sustain						维持，支撑，遭受，认可
stuff						东西，私人物品，事儿，作品，要素，装满
site							地点，营地，现场，选址
veteran						老兵
accompany							陪同，伴随，伴奏
pace								一步，速度，节奏，踱步
annual							每年的
cosmic			宇宙的
majestic			雄伟的，壮观的，庄严的
give							给，产生，介绍
\\\\\\\\
