outspoken						直言不讳的，公开的
storage								贮藏，储存
unique							唯一的，独特的
screw		螺丝，工资，拧紧，勒索
a screw of	一小包
pore			毛孔，气孔
Pore over	仔细打量，认真研究
slap			拍，掌㧽
stick							枝条，条状物，批评，粘贴，刺，放置，容忍
keen						渴望的，热心的，强烈的，敏锐的
status						地位，重要程度
lubricate			使润滑，使顺畅
overwhelm						吞没，压垮，战胜
pains				辛苦
variable				变化无常的，变量
handbook				手册
rigid								坚硬的，死板的，苛严的
embrace						拥抱，包括，欣然接受
ivory				象牙
ivories				钢琴键
radical				激进的，根本的，彻底的，偏旁
free radicals		自由基
identity							身份，特点，个性
prevail						流行，占优势
ferry				渡轮，运送
pinpoint				小点，精确的，确定
refreshment						恢复活力
essence					本质，精油
hail					雹，下冰雹
a hail of			一阵
litter								垃圾，一胎幼仔，乱扔
shiver					颤抖
portion					一部分
courtesy				礼貌，客气话
feast							盛宴，赏心悦目，节日
\\\\\\\\
