propriety				得体
proprieties			行为规范
surplus				剩余，盈余
odyssey				艰苦跋涉
portfolio				公事包，代表作品集
superficial						外表的，粗略的，肤浅的
session							集会，开庭，一段时间
obliging				乐于助人的
shutter				百叶窗，卷帘门，快门
petty					琐碎的，小气的，次要的
cripple					跛子，有缺陷的人，严重破坏
probation				缓刑，试用期
pendulum				钟摆，摇摆不定的趋势
exile							背井离乡者，流放
convince						说服
righteous				正直的
the righteous			正直的人
champagne				香槟酒，香槟色
appetite							食欲，欲望
sophisticated				有修养的，老练的，复杂的
poke					戳，拳打，捅出，插入，伸出
elevator				电梯
touchy				易怒的，棘手的
recommendation		推荐，建议
tap							龙头，窃听器，抽液，利用，轻拍
shed						储物棚，流，摆脱，流露出
outweigh					超过
reinforce						增加，加固，证实
loaf							一条，脑袋
feat					功绩
cumulative					累积的
nylon						尼龙
\\\\\\\\
