madden				使发怒，使疯狂
technique							方法，技术，技巧
guideline						指导方针
hang					贴，悬挂，垂着，诀窍
emotion					情绪，冲动
tuck					挽起，收拢，褶，抱膝
magnitude			巨大，重大，大小
cereal				谷物
jungle								热带丛林，混乱
misappropriate		挪用
erosion				侵蚀，削弱
hijack							劫持，把持
meteoric				流星的，迅疾的
clearance			清除，处理，批准，结算，间隙
scrape				刮，挖出，勉强通过，擦痕，窘境
scrape a living		勉强度日
sicken				使...感到厌恶
statue					雕像
occupy					居住，占用，担任
nil					无，零，不存在的
culminate			告终
file						锉刀，文件，提交，一行
ghastly			可怕的，令人讨厌的，惨白的
ugly				丑陋的，可怕的
chip				芯片，薯条
occurrence			发生的事，发生，存在
propel			推进，划动，驱使
once						一次，以前，一旦
approach							接近，接洽，处理，通道
overture			序曲，友好姿态
wholesale		批发，大规模的
\\\\\\\\
