stationery			文具，信笺
liquor				酒，汁
legend						传说，铭文
contaminate						污染
loll					垂下
inspire							鼓舞，使产生，激起
constant						持续的，不变的，常数
perimeter				边缘，周长
neurotic				患神经症的，神经质的
assemble						召集，收集，装配
origin							产地，起源
hurl										猛扔，大声说出
upright				垂直的，正直的
volcano					火山
momentous				重大的
amid					在...中，环绕在...中
fierce							凶猛的，强烈的
grill								烤架，盘问，烤炙
primary				主要的，最初的
flexible									柔韧的，可变通的
affiliate						使隶属，并入，附属机构
famine						饥荒
say				说，宣称，估计
undoubtedly					毫无疑问的
naval			海军的
uneven					不平整的，不规则的，悬殊的
perishable		易腐烂的
grudge					积怨，嫉妒，勉强做
fabulous			极好的，惊人的，传说中的
\\\\\\\\
