occur									发生，出现，被想到
carry							拿，运送，推进，具有
loan							借款，借用
overlook				俯瞰，看漏，不理会
periscope				潜望镜
typical								典型的，特有的
priority							优先，优先的
weave								织，编造，编排，迂回前行，摇摇晃晃
overt				公开的
flank				侧面，位于...的两侧或一侧
overcome								战胜，压倒
alter							改变
interval					间隔，中场休息
sheer						十足的，完全的，陡峭的，轻薄的
slight							小的，肤浅的，冒犯
simulate					假装，模拟，模仿
convenience						方便，便利设施
electronic							电子的
verbal						口头的，动词的
mildew					霉菌，长霉
disposition				性情，倾向，布置
marvel					感到惊讶，奇迹
freight				货物，货运，运费
tease					打趣
intermittent				间歇的
tame					驯化的，枯燥乏味的，温顺的，驯服
sluggish				缓慢的，疲软的
fulfil					实现，满足，符合
compass						指南针，范围
paternity				父亲身份
\\\\\\\\
