embark				上船
questionnaire				调查表
voucher				票券，收据
puzzle							谜，使困惑，苦思冥想
foil					箔，陪衬，挫败
grant								准予，授予，承认，拨款
request								要求
subtle					细微的，精妙的，敏锐的，隐约的
sewer					下水道
consumption				消耗，消费，接受
hence					因此，从现在起
texture						手感，口感，韵味
vary							相异，变化，改变
fleeting					转瞬即逝的
hostage					人质
pledge						诺言，保证，抵押，信物
pry						刺探
synthesis					综合，合成
distress						痛苦，危难
intimidate				恐吓
oppose						反对，抵制
orientate			使朝向，使适应
orientate oneself		确定方位，熟悉环境
ornament				装饰
teem					充满，倾盆而下
precipitate			引发，加速，抛下，沉淀，仓促的
ordeal				磨难
placid				平和的，安静的
conversely				相反的
worthwhile					值得的
realm						王国，领域
\\\\\\\\
