vocational					职业的
inaugurate				为...举办开幕式，使...就职，开创
loyal					忠实的
crystal				结晶体，水晶，清澈的
embarrass							使尴尬
howl				长嚎
release					释放，免除...的责任，打开，放开，发射
sanity			精神正常，通情达理
visible					看得见的，明显的
transistor				晶体管
pasture				牧场，放牧
sprint				短跑比赛，冲刺
cradle				摇篮，发源地，轻轻抱着
amateur								业余爱好者
determination						决心
discreet					考虑周到的，朴素的
perverse				任性的，不合常理的
perpendicular			成直角的，直立的，垂直线
scoop				勺，铲斗，抢先报道
refund				退还，退款金额
productive							高产的，富有成效的
yawn								打哈欠
kidnap						绑架罪，绑架
emit						散发，射出
accountant								会计
glamour				魅力，诱惑力
environment						环境
stand								站立，位于，很可能会，忍受
likewise				同样的，也
traitor				叛徒
\\\\\\\\
