grind						磨碎，压迫
mock							嘲笑，挫败，仿制的，假装的，模拟的
make a mock of				开玩笑
vacation						假期，放假
marrow						骨髓
steadfast					坚定的，目不转睛的
assumption						假定，获得，承担
optimum					最适宜的，最佳条件
discrepancy				差异
presence				在场，风度
terrain				地带
dine								进餐
perfume						香水，芳香
echo						回声，暗示，附和，与...相似
cutting					剪报，插条，切割的，刺骨的
momentum					动量，动力
nowhere							哪里都不，毫无进展
shepherd					牧羊人，放牧，引领
superintend				主管
mythology					神话，虚幻想法
delinquency				轻罪，违法行为
relief								解脱，救助，减轻，凸显
the dole					失业救济金
suspension					暂停，悬架，悬浮
laudable					值得赞美的
snack							快餐，小食品
demolish				拆除，驳倒，彻底打败
whistle									哨声，吹口哨
monster				怪物，巨人，巨大的
doctrine				教义，学说
trait							特点，性状
\\\\\\\\
